,sid,gmv_PGA,eid
0,0,1.20838E-01,12884901888
1,1,1.16853E-01,12884901888
2,2,1.12915E-01,12884901888
3,3,1.09049E-01,12884901888
4,4,1.05275E-01,12884901888
5,5,1.01608E-01,12884901888
6,6,9.80565E-02,12884901888
7,7,9.46280E-02,12884901888
8,8,9.13255E-02,12884901888
9,9,8.81502E-02,12884901888
10,10,8.51014E-02,12884901888
11,11,8.21775E-02,12884901888
12,12,7.93756E-02,12884901888
13,13,7.66925E-02,12884901888
14,14,7.41241E-02,12884901888
15,15,7.16664E-02,12884901888
16,16,6.93151E-02,12884901888
17,17,6.70656E-02,12884901888
18,18,6.49136E-02,12884901888
19,19,6.28547E-02,12884901888
20,20,6.08846E-02,12884901888
21,21,5.89991E-02,12884901888
22,22,5.71942E-02,12884901888
23,23,5.54660E-02,12884901888
24,24,5.38109E-02,12884901888
25,25,5.22251E-02,12884901888
26,26,5.07053E-02,12884901888
27,27,4.92483E-02,12884901888
28,28,4.78510E-02,12884901888
29,29,4.65104E-02,12884901888
30,30,1.17129E-01,12884901888
31,31,1.13457E-01,12884901888
32,32,1.09808E-01,12884901888
33,33,1.06211E-01,12884901888
34,34,1.02683E-01,12884901888
35,35,9.92401E-02,12884901888
36,36,9.58938E-02,12884901888
37,37,9.26513E-02,12884901888
38,38,8.95175E-02,12884901888
39,39,8.64950E-02,12884901888
40,40,8.35846E-02,12884901888
41,41,8.07860E-02,12884901888
42,42,7.80977E-02,12884901888
43,43,7.55175E-02,12884901888
44,44,7.30425E-02,12884901888
45,45,7.06695E-02,12884901888
46,46,6.83951E-02,12884901888
47,47,6.62156E-02,12884901888
48,48,6.41272E-02,12884901888
49,49,6.21264E-02,12884901888
50,50,6.02092E-02,12884901888
51,51,5.83722E-02,12884901888
52,52,5.66116E-02,12884901888
53,53,5.49239E-02,12884901888
54,54,5.33059E-02,12884901888
55,55,5.17542E-02,12884901888
56,56,5.02658E-02,12884901888
57,57,4.88376E-02,12884901888
58,58,4.74668E-02,12884901888
59,59,4.61507E-02,12884901888
60,60,1.13420E-01,12884901888
61,61,1.10042E-01,12884901888
62,62,1.06671E-01,12884901888
63,63,1.03331E-01,12884901888
64,64,1.00041E-01,12884901888
65,65,9.68179E-02,12884901888
66,66,9.36728E-02,12884901888
67,67,9.06142E-02,12884901888
68,68,8.76481E-02,12884901888
69,69,8.47785E-02,12884901888
70,70,8.20073E-02,12884901888
71,71,7.93354E-02,12884901888
72,72,7.67623E-02,12884901888
73,73,7.42869E-02,12884901888
74,74,7.19073E-02,12884901888
75,75,6.96212E-02,12884901888
76,76,6.74259E-02,12884901888
77,77,6.53187E-02,12884901888
78,78,6.32963E-02,12884901888
79,79,6.13557E-02,12884901888
80,80,5.94936E-02,12884901888
81,81,5.77070E-02,12884901888
82,82,5.59926E-02,12884901888
83,83,5.43474E-02,12884901888
84,84,5.27683E-02,12884901888
85,85,5.12525E-02,12884901888
86,86,4.97970E-02,12884901888
87,87,4.83992E-02,12884901888
88,88,4.70564E-02,12884901888
89,89,4.57662E-02,12884901888
90,90,1.09741E-01,12884901888
91,91,1.06639E-01,12884901888
92,92,1.03529E-01,12884901888
93,93,1.00434E-01,12884901888
94,94,9.73735E-02,12884901888
95,95,9.43622E-02,12884901888
96,96,9.14126E-02,12884901888
97,97,8.85340E-02,12884901888
98,98,8.57331E-02,12884901888
99,99,8.30147E-02,12884901888
100,100,8.03820E-02,12884901888
101,101,7.78366E-02,12884901888
102,102,7.53792E-02,12884901888
103,103,7.30094E-02,12884901888
104,104,7.07264E-02,12884901888
105,105,6.85285E-02,12884901888
106,106,6.64140E-02,12884901888
107,107,6.43805E-02,12884901888
108,108,6.24258E-02,12884901888
109,109,6.05470E-02,12884901888
110,110,5.87418E-02,12884901888
111,111,5.70072E-02,12884901888
112,112,5.53407E-02,12884901888
113,113,5.37395E-02,12884901888
114,114,5.22009E-02,12884901888
115,115,5.07223E-02,12884901888
116,116,4.93012E-02,12884901888
117,117,4.79351E-02,12884901888
118,118,4.66216E-02,12884901888
119,119,4.53584E-02,12884901888
120,120,1.06117E-01,12884901888
121,121,1.03273E-01,12884901888
122,122,1.00407E-01,12884901888
123,123,9.75438E-02,12884901888
124,124,9.47001E-02,12884901888
125,125,9.18916E-02,12884901888
126,126,8.91305E-02,12884901888
127,127,8.64263E-02,12884901888
128,128,8.37865E-02,12884901888
129,129,8.12166E-02,12884901888
130,130,7.87203E-02,12884901888
131,131,7.63003E-02,12884901888
132,132,7.39579E-02,12884901888
133,133,7.16937E-02,12884901888
134,134,6.95075E-02,12884901888
135,135,6.73985E-02,12884901888
136,136,6.53654E-02,12884901888
137,137,6.34068E-02,12884901888
138,138,6.15206E-02,12884901888
139,139,5.97050E-02,12884901888
140,140,5.79578E-02,12884901888
141,141,5.62765E-02,12884901888
142,142,5.46591E-02,12884901888
143,143,5.31031E-02,12884901888
144,144,5.16062E-02,12884901888
145,145,5.01661E-02,12884901888
146,146,4.87805E-02,12884901888
147,147,4.74472E-02,12884901888
148,148,4.61641E-02,12884901888
149,149,4.49290E-02,12884901888
150,150,1.02569E-01,12884901888
151,151,9.99609E-02,12884901888
152,152,9.73235E-02,12884901888
153,153,9.46768E-02,12884901888
154,154,9.20382E-02,12884901888
155,155,8.94224E-02,12884901888
156,156,8.68415E-02,12884901888
157,157,8.43052E-02,12884901888
158,158,8.18213E-02,12884901888
159,159,7.93957E-02,12884901888
160,160,7.70329E-02,12884901888
161,161,7.47361E-02,12884901888
162,162,7.25073E-02,12884901888
163,163,7.03478E-02,12884901888
164,164,6.82579E-02,12884901888
165,165,6.62376E-02,12884901888
166,166,6.42862E-02,12884901888
167,167,6.24027E-02,12884901888
168,168,6.05858E-02,12884901888
169,169,5.88340E-02,12884901888
170,170,5.71455E-02,12884901888
171,171,5.55185E-02,12884901888
