site_id,lon,lat,sid,gmv_PGA,eid
0,1.167200E+02,-3.182000E+01,0,1.208376E-01,12884901888
1,1.167200E+02,-3.182450E+01,1,1.168530E-01,12884901888
2,1.167200E+02,-3.182899E+01,2,1.129146E-01,12884901888
3,1.167200E+02,-3.183349E+01,3,1.090487E-01,12884901888
4,1.167200E+02,-3.183799E+01,4,1.052749E-01,12884901888
5,1.167200E+02,-3.184248E+01,5,1.016075E-01,12884901888
6,1.167200E+02,-3.184698E+01,6,9.805651E-02,12884901888
7,1.167200E+02,-3.185148E+01,7,9.462804E-02,12884901888
8,1.167200E+02,-3.185597E+01,8,9.132554E-02,12884901888
9,1.167200E+02,-3.186047E+01,9,8.815017E-02,12884901888
10,1.167200E+02,-3.186497E+01,10,8.510140E-02,12884901888
11,1.167200E+02,-3.186946E+01,11,8.217747E-02,12884901888
12,1.167200E+02,-3.187396E+01,12,7.937562E-02,12884901888
13,1.167200E+02,-3.187846E+01,13,7.669247E-02,12884901888
14,1.167200E+02,-3.188295E+01,14,7.412414E-02,12884901888
15,1.167200E+02,-3.188745E+01,15,7.166644E-02,12884901888
16,1.167200E+02,-3.189195E+01,16,6.931509E-02,12884901888
17,1.167200E+02,-3.189644E+01,17,6.706560E-02,12884901888
18,1.167200E+02,-3.190094E+01,18,6.491360E-02,12884901888
19,1.167200E+02,-3.190544E+01,19,6.285469E-02,12884901888
20,1.167200E+02,-3.190993E+01,20,6.088456E-02,12884901888
21,1.167200E+02,-3.191443E+01,21,5.899908E-02,12884901888
22,1.167200E+02,-3.191893E+01,22,5.719422E-02,12884901888
23,1.167200E+02,-3.192342E+01,23,5.546604E-02,12884901888
24,1.167200E+02,-3.192792E+01,24,5.381087E-02,12884901888
25,1.167200E+02,-3.193242E+01,25,5.222509E-02,12884901888
26,1.167200E+02,-3.193691E+01,26,5.070533E-02,12884901888
27,1.167200E+02,-3.194141E+01,27,4.924833E-02,12884901888
28,1.167200E+02,-3.194591E+01,28,4.785099E-02,12884901888
29,1.167200E+02,-3.195040E+01,29,4.651041E-02,12884901888
30,1.167253E+02,-3.182000E+01,30,1.171291E-01,12884901888
31,1.167253E+02,-3.182450E+01,31,1.134565E-01,12884901888
32,1.167253E+02,-3.182899E+01,32,1.098084E-01,12884901888
33,1.167253E+02,-3.183349E+01,33,1.062105E-01,12884901888
34,1.167253E+02,-3.183799E+01,34,1.026827E-01,12884901888
35,1.167253E+02,-3.184248E+01,35,9.924013E-02,12884901888
36,1.167253E+02,-3.184698E+01,36,9.589382E-02,12884901888
37,1.167253E+02,-3.185148E+01,37,9.265132E-02,12884901888
38,1.167253E+02,-3.185597E+01,38,8.951748E-02,12884901888
39,1.167253E+02,-3.186047E+01,39,8.649495E-02,12884901888
40,1.167253E+02,-3.186497E+01,40,8.358463E-02,12884901888
41,1.167253E+02,-3.186946E+01,41,8.078604E-02,12884901888
