site_id,lon,lat,sid,gmv_PGA,eid
0,1.167200E+02,-3.182000E+01,0,1.208342E-01,12884901888
1,1.167200E+02,-3.182180E+01,1,1.192369E-01,12884901888
2,1.167200E+02,-3.182360E+01,2,1.176441E-01,12884901888
3,1.167200E+02,-3.182540E+01,3,1.160577E-01,12884901888
4,1.167200E+02,-3.182719E+01,4,1.144798E-01,12884901888
5,1.167200E+02,-3.182899E+01,5,1.129119E-01,12884901888
6,1.167200E+02,-3.183079E+01,6,1.113558E-01,12884901888
7,1.167200E+02,-3.183259E+01,7,1.098126E-01,12884901888
8,1.167200E+02,-3.183439E+01,8,1.082837E-01,12884901888
9,1.167200E+02,-3.183619E+01,9,1.067701E-01,12884901888
10,1.167200E+02,-3.183799E+01,10,1.052728E-01,12884901888
11,1.167200E+02,-3.183979E+01,11,1.037925E-01,12884901888
12,1.167200E+02,-3.184158E+01,12,1.023301E-01,12884901888
13,1.167200E+02,-3.184338E+01,13,1.008860E-01,12884901888
14,1.167200E+02,-3.184518E+01,14,9.946078E-02,12884901888
15,1.167200E+02,-3.184698E+01,15,9.805489E-02,12884901888
16,1.167200E+02,-3.184878E+01,16,9.666863E-02,12884901888
17,1.167200E+02,-3.185058E+01,17,9.530228E-02,12884901888
18,1.167200E+02,-3.185238E+01,18,9.395600E-02,12884901888
19,1.167200E+02,-3.185417E+01,19,9.262999E-02,12884901888
20,1.167200E+02,-3.185597E+01,20,9.132428E-02,12884901888
21,1.167200E+02,-3.185777E+01,21,9.003894E-02,12884901888
22,1.167200E+02,-3.185957E+01,22,8.877395E-02,12884901888
23,1.167200E+02,-3.186137E+01,23,8.752926E-02,12884901888
24,1.167200E+02,-3.186317E+01,24,8.630480E-02,12884901888
25,1.167200E+02,-3.186497E+01,25,8.510044E-02,12884901888
26,1.167200E+02,-3.186676E+01,26,8.391608E-02,12884901888
27,1.167200E+02,-3.186856E+01,27,8.275154E-02,12884901888
28,1.167200E+02,-3.187036E+01,28,8.160661E-02,12884901888
29,1.167200E+02,-3.187216E+01,29,8.048115E-02,12884901888
30,1.167200E+02,-3.187396E+01,30,7.937491E-02,12884901888
31,1.167200E+02,-3.187576E+01,31,7.828764E-02,12884901888
32,1.167200E+02,-3.187756E+01,32,7.721915E-02,12884901888
33,1.167200E+02,-3.187936E+01,33,7.616913E-02,12884901888
34,1.167200E+02,-3.188115E+01,34,7.513736E-02,12884901888
35,1.167200E+02,-3.188295E+01,35,7.412359E-02,12884901888
36,1.167200E+02,-3.188475E+01,36,7.312749E-02,12884901888
37,1.167200E+02,-3.188655E+01,37,7.214886E-02,12884901888
38,1.167200E+02,-3.188835E+01,38,7.118734E-02,12884901888
39,1.167200E+02,-3.189015E+01,39,7.024271E-02,12884901888
40,1.167200E+02,-3.189195E+01,40,6.931465E-02,12884901888
41,1.167200E+02,-3.189374E+01,41,6.840292E-02,12884901888
42,1.167200E+02,-3.189554E+01,42,6.750718E-02,12884901888
43,1.167200E+02,-3.189734E+01,43,6.662719E-02,12884901888
44,1.167200E+02,-3.189914E+01,44,6.576264E-02,12884901888
45,1.167200E+02,-3.190094E+01,45,6.491327E-02,12884901888
46,1.167200E+02,-3.190274E+01,46,6.407881E-02,12884901888
47,1.167200E+02,-3.190454E+01,47,6.325894E-02,12884901888
48,1.167200E+02,-3.190633E+01,48,6.245343E-02,12884901888
49,1.167200E+02,-3.190813E+01,49,6.166198E-02,12884901888
50,1.167200E+02,-3.190993E+01,50,6.088433E-02,12884901888
51,1.167200E+02,-3.191173E+01,51,6.012024E-02,12884901888
52,1.167200E+02,-3.191353E+01,52,5.936940E-02,12884901888
53,1.167200E+02,-3.191533E+01,53,5.863161E-02,12884901888
54,1.167200E+02,-3.191713E+01,54,5.790656E-02,12884901888
55,1.167200E+02,-3.191893E+01,55,5.719406E-02,12884901888
56,1.167200E+02,-3.192072E+01,56,5.649379E-02,12884901888
57,1.167200E+02,-3.192252E+01,57,5.580559E-02,12884901888
58,1.167200E+02,-3.192432E+01,58,5.512915E-02,12884901888
59,1.167200E+02,-3.192612E+01,59,5.446429E-02,12884901888
60,1.167200E+02,-3.192792E+01,60,5.381075E-02,12884901888
61,1.167200E+02,-3.192972E+01,61,5.316833E-02,12884901888
62,1.167200E+02,-3.193152E+01,62,5.253678E-02,12884901888
