,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp2500,0,0,463.656,776.944,151.197,19.0352,6.167680000000001
Rp2500,0,0,465.86,777.8330000000001,149.27200000000002,18.1723,5.86205
Rp2500,0,0,467.205,779.446,147.836,16.9683,5.54433
