,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp500,0,0,1175.11,239.885,1.83555,0.163089,0.00540285
Rp500,0,0,1178.99,236.196,1.6589099999999999,0.1521,0.00507811
Rp500,0,0,1185.55,229.81,1.5045899999999999,0.133536,0.00475071
