,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp1000,0,0,958.488,440.13199999999995,16.4998,1.69513,0.185647
Rp1000,0,0,962.2289999999999,437.218,15.779,1.59808,0.17571199999999998
Rp1000,0,0,966.706,433.465,15.2177,1.44429,0.167131
