,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp500,0,0,1182.8,232.248,1.79931,0.150506,0.00510343
Rp500,0,0,1192.37,223.06099999999998,1.4323299999999999,0.133305,0.00454417
Rp500,0,0,1205.43,210.28900000000002,1.16749,0.107547,0.00392805
