,L1,L2,L3,L4
Y0,15422680.0,15422680.0,15422680.0,15422680.0
Y10,14959180.0,14959180.0,14959190.0,14959190.0
Y20,14204660.0,14204660.0,14204660.0,14204660.0
Y30,13636770.0,13636770.0,13636770.0,13636770.0
