heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,105.0,30.0,9.0,3.0
NH,671.0,121.0,10.0,3.0
H,106.0,29.0,8.0,3.0
NH,672.0,121.0,10.0,3.0
H,107.0,28.0,7.0,2.0
NH,672.0,120.0,10.0,3.0
