,L1,L2,L3,L4
Y0,7774936.0,7774938.0,7774937.0,7774936.0
Y10,7534213.0,7534214.0,7534213.0,7534213.0
Y20,7134368.0,7134367.0,7134368.0,7134368.0
Y30,6795658.0,6795658.0,6795658.0,6795658.0
