,L1,L2,L3,L4
Rp500,3.3438293910000008,3.3438293910000008,3.3438293910000008,3.3438293910000008
Rp1000,6.10104816,6.10104816,6.10104816,6.10104816
Rp2500,16.716823869999995,16.716823869999995,16.716823869999995,16.716823869999995
