,L1,L2,L3,L4
Y0,3.675706,1.6001239999999999,0.0807188,0.156694
Y10,3.645525,1.587719,0.07973272,0.1547636
Y20,3.630927,1.582742,0.07914287,0.1536015
Y30,3.575761,1.563795,0.07701481,0.14941210000000002
