,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp2500,0,0,461.384,775.4889999999999,153.453,20.1885,6.4849
Rp2500,0,0,463.385,776.7760000000001,151.625,19.045,6.16936
Rp2500,0,0,465.589,777.665,149.7,18.182,5.86374
Rp2500,0,0,466.934,779.278,148.264,16.9781,5.5460199999999995
