,L1,L2,L3,L4
Y10,0.216923,0.01047002,8.658574000000001e-05,0.00014358899999999998
Y20,0.21087809999999999,0.009419794,8.127806e-05,0.00013572290000000002
Y30,0.1996551,0.008492801,7.351841e-05,0.00012279969999999998
