heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,113.0,5.0,1.0,0.0
NH,323.0,11.0,1.0,0.0
H,108.0,4.0,1.0,0.0
NH,321.0,10.0,1.0,0.0
H,104.0,3.0,0.0,0.0
NH,317.0,10.0,1.0,0.0
