,L1,L2,L3,L4
Y0,0.5991783,0.1316986,0.002695187,0.005014017
Y10,0.5944721,0.1294941,0.002660095,0.004950299
Y20,0.5931116999999999,0.1291256,0.0026423009999999997,0.00491598
Y30,0.5874855999999999,0.1279025,0.002589454,0.00481443
