,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp1000,0,0,963.437,435.556,16.2428,1.58746,0.17689100000000002
Rp1000,0,0,972.189,428.801,14.4161,1.43265,0.161639
Rp1000,0,0,981.802,420.635,13.1999,1.2182600000000001,0.145374
