heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,91.0,1.0,0.0,0.0
NH,149.0,1.0,0.0,0.0
H,90.0,1.0,0.0,0.0
NH,147.0,1.0,0.0,0.0
H,86.0,1.0,0.0,0.0
NH,144.0,1.0,0.0,0.0
