,event_id,rlzi,structural~no_damage,structural~slight,structural~moderate,structural~extensive,structural~complete
Rp500,0,0,1171.43,243.362,2.01883,0.180516,0.00576436
Rp500,0,0,1174.77,240.207,1.84981,0.163106,0.00540715
Rp500,0,0,1178.65,236.518,1.67317,0.152117,0.0050824
Rp500,0,0,1185.18,230.162,1.5164799999999998,0.132923,0.00473164
