heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,106.0,29.0,8.0,3.0
NH,672.0,121.0,10.0,3.0
H,108.0,26.0,8.0,2.0
NH,674.0,119.0,9.0,3.0
H,111.0,24.0,6.0,2.0
NH,675.0,118.0,9.0,3.0
