rock_500,soil_500,rock_1000,soil_1000,rock_2500,soil_2500,site_id,lon,lat
0.12083419999999999,0.1160077,0.07829971,0.07420321,0.1636631,0.1565706,0,116.72,-31.82
0.11923689999999999,0.1144575,0.07826031,0.07416593,0.1637256,0.1566306,1,116.72,-31.8218
0.1176441,0.11291199999999998,0.07822096,0.07412869,0.1637769,0.1566797,2,116.72,-31.8236
0.1160577,0.1113731,0.07818165,0.07409147,0.16381679999999998,0.1567179,3,116.72,-31.8254
0.1144798,0.1098511,0.07814234,0.07405451,0.1638453,0.1567451,4,116.72,-31.82719
0.1129119,0.1083306,0.07810311,0.07401736,0.1638625,0.1567616,5,116.72,-31.82899
0.1113558,0.10682180000000001,0.07806387,0.07398025,0.1638683,0.1567672,6,116.72,-31.830790000000004
0.1098126,0.105326,0.07802471,0.07394319,0.16386270000000003,0.1567618,7,116.72,-31.832590000000003
0.1082837,0.1038443,0.07798557,0.07390615,0.1638457,0.15674549999999998,8,116.72,-31.834390000000003
0.1067701,0.1023778,0.07794645,0.07386913,0.1638233,0.156724,9,116.72,-31.836190000000002
0.1052728,0.1009273,0.07790738,0.07383216,0.163801,0.15670250000000002,10,116.72,-31.83799
0.1037925,0.09949379,0.07786834,0.07379523,0.1637786,0.156681,11,116.72,-31.83979
0.10233010000000001,0.09808562,0.07782934,0.07375851,0.1637563,0.1566596,12,116.72,-31.84158
0.100886,0.10504939999999999,0.07779038,0.08180335,0.1637339,0.1700644,13,116.72,-31.84338
0.09946078,0.10358350000000001,0.07775374,0.08176508,0.16371159999999998,0.1700414,14,116.72,-31.84518
0.09805489,0.10213710000000001,0.07770552,0.08171477,0.16368929999999998,0.1700185,15,116.72,-31.84698
0.09666863,0.10071039999999999,0.07764493,0.08165156,0.1636671,0.16999560000000002,16,116.72,-31.848779999999998
0.09530228,0.09128554,0.07757206,0.07351513,0.16364479999999998,0.15655260000000001,17,116.72,-31.850579999999997
0.093956,0.08998386,0.07748695,0.0734346,0.1636226,0.1565312,18,116.72,-31.85238
0.09262999,0.08870916,0.07738973,0.07334317,0.1636003,0.15650999999999998,19,116.72,-31.85417
0.09132428,0.0874472,0.07728051,0.07323987,0.1635781,0.1564886,20,116.72,-31.855970000000003
0.09003894,0.08620524,0.0771594,0.07312534,0.163556,0.15646729999999998,21,116.72,-31.857770000000002
0.08877395,0.08498323,0.07702653,0.07299967,0.1635338,0.156446,22,116.72,-31.85957
0.08752926,0.08378113,0.07688205,0.072863,0.1635116,0.1564247,23,116.72,-31.86137
0.0863048,0.08259886,0.07672611,0.07271551,0.1634895,0.1564034,24,116.72,-31.86317
0.08510044,0.08143629,0.0765589,0.07255733,0.16346729999999998,0.1563822,25,116.72,-31.86497
0.08391608,0.08029958,0.07638058,0.0723896,0.1634452,0.1563611,26,116.72,-31.86676
0.08275154,0.07917587,0.07619136,0.07221065,0.16342320000000002,0.15633989999999998,27,116.72,-31.86856
0.08160661,0.07807134,0.0759914,0.07202154,0.1634011,0.1563187,28,116.72,-31.870359999999998
0.08048115,0.07698586,0.07578096,0.0718225,0.163379,0.1562974,29,116.72,-31.872159999999997
0.07937491,0.07591915,0.07556022,0.07161372,0.163357,0.15627629999999998,30,116.72,-31.873959999999997
0.07828764,0.074871,0.07532942,0.07139539,0.16333499999999998,0.1562551,31,116.72,-31.875759999999996
0.07721915,0.07384115,0.07508879,0.07116776,0.16331289999999998,0.15623399999999998,32,116.72,-31.87756
0.07616913,0.07282938,0.07483858,0.07093107,0.16329100000000002,0.15621279999999999,33,116.72,-31.87936
0.07513736,0.07184087,0.074579,0.0706869,0.163269,0.1561918,34,116.72,-31.88115
0.07412359,0.07086433,0.07431034,0.07043279,0.163247,0.15617070000000002,35,116.72,-31.88295
0.07312749,0.06990506,0.07403285,0.0701703,0.16322509999999998,0.1561497,36,116.72,-31.88475
0.07214886,0.06896278,0.07374677,0.06989969,0.16320320000000002,0.1561286,37,116.72,-31.88655
0.07118734,0.06803721,0.07345239,0.0696212,0.16318129999999997,0.1561075,38,116.72,-31.88835
0.07024271,0.06712805,0.07314995,0.0693351,0.1631594,0.1560865,39,116.72,-31.89015
0.06931465,0.06623505,0.07283975,0.06904165,0.1631375,0.1560655,40,116.72,-31.89195
0.06840292,0.06840496,0.07252207,0.07252323,0.1631156,0.16311620000000002,41,116.72,-31.89374
0.06750718,0.06750854,0.07219717,0.07219806,0.16309379999999998,0.1630944,42,116.72,-31.895540000000004
0.06662719,0.06662788,0.07186531,0.07186595,0.163072,0.16307249999999998,43,116.72,-31.897340000000003
0.06576264,0.0657627,0.07152679,0.07152715,0.1630502,0.16305060000000002,44,116.72,-31.899140000000003
0.06491327,0.06491269,0.07118188,0.07118196,0.1630284,0.16302879999999997,45,116.72,-31.900940000000002
0.06407881,0.0640776,0.07083084,0.07083065,0.1630066,0.16300699999999999,46,116.72,-31.90274
0.06325894,0.06325717,0.07047398,0.0704735,0.1629849,0.1629852,47,116.72,-31.90454
0.06245343,0.06245551,0.07011157,0.07011279,0.1629631,0.1629635,48,116.72,-31.90633
0.06166198,0.06166345,0.06974386,0.06974479,0.1629414,0.1629418,49,116.72,-31.90813
0.06088433,0.0581398,0.06937113,0.06576351,0.16291960000000003,0.15585639999999998,50,116.72,-31.90993
0.06012024,0.05740593,0.06899365,0.06540634,0.16289800000000002,0.1558356,51,116.72,-31.91173
0.0593694,0.05668496,0.0686117,0.06504492,0.1628763,0.15581470000000003,52,116.72,-31.913529999999998
0.05863161,0.05597658,0.06822554,0.06467949,0.16285460000000002,0.15579389999999999,53,116.72,-31.915329999999997
0.05790656,0.0552806,0.06783539,0.06431029,0.162833,0.1557731,54,116.72,-31.91713
0.05719406,0.05459672,0.06744156,0.06393759,0.1628114,0.15575229999999998,55,116.72,-31.91893
0.05649379,0.05392845,0.06704427,0.06356371,0.16278979999999998,0.1557317,56,116.72,-31.920720000000003
0.05580559,0.05326805,0.06664378,0.06318471,0.1627682,0.15571089999999999,57,116.72,-31.922520000000002
