,L1,L2,L3,L4
Y0,0.2236029,0.01097779,9.233345999999999e-05,0.0001535394
Y10,0.22159160000000003,0.01067695,9.027158000000002e-05,0.0001502689
Y20,0.2206661,0.01064147,8.964234e-05,0.00014912889999999998
Y30,0.21644320000000003,0.01052062,8.758214e-05,0.000145401
