,L1,L2,L3,L4
Y0,44401500.0,44401500.0,44401500.0,44401490.0
Y10,42873520.0,42873520.0,42873520.0,42873520.0
Y20,40595660.0,40595660.0,40595670.0,40595660.0
Y30,38819360.0,38819360.0,38819370.0,38819360.0
