heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,116.0,5.0,1.0,0.0
NH,324.0,11.0,1.0,0.0
H,115.0,5.0,1.0,0.0
NH,323.0,11.0,1.0,0.0
H,113.0,4.0,1.0,0.0
NH,320.0,11.0,1.0,0.0
