heritage,structural~slight,structural~moderate,structural~extensive,structural~complete
H,86.0,1.0,0.0,0.0
NH,147.0,1.0,0.0,0.0
H,80.0,1.0,0.0,0.0
NH,143.0,1.0,0.0,0.0
H,72.0,0.0,0.0,0.0
NH,138.0,1.0,0.0,0.0
