site_id,lon,lat,sid,gmv_PGA,eid
0,1.167200E+02,-3.182000E+01,0,1.565706E-01,12884901888
1,1.167200E+02,-3.182180E+01,1,1.566306E-01,12884901888
2,1.167200E+02,-3.182360E+01,2,1.566797E-01,12884901888
3,1.167200E+02,-3.182540E+01,3,1.567179E-01,12884901888
4,1.167200E+02,-3.182719E+01,4,1.567451E-01,12884901888
5,1.167200E+02,-3.182899E+01,5,1.567616E-01,12884901888
6,1.167200E+02,-3.183079E+01,6,1.567672E-01,12884901888
7,1.167200E+02,-3.183259E+01,7,1.567618E-01,12884901888
8,1.167200E+02,-3.183439E+01,8,1.567455E-01,12884901888
9,1.167200E+02,-3.183619E+01,9,1.567240E-01,12884901888
10,1.167200E+02,-3.183799E+01,10,1.567025E-01,12884901888
11,1.167200E+02,-3.183979E+01,11,1.566810E-01,12884901888
12,1.167200E+02,-3.184158E+01,12,1.566596E-01,12884901888
13,1.167200E+02,-3.184338E+01,13,1.700644E-01,12884901888
14,1.167200E+02,-3.184518E+01,14,1.700414E-01,12884901888
15,1.167200E+02,-3.184698E+01,15,1.700185E-01,12884901888
16,1.167200E+02,-3.184878E+01,16,1.699956E-01,12884901888
17,1.167200E+02,-3.185058E+01,17,1.565526E-01,12884901888
18,1.167200E+02,-3.185238E+01,18,1.565312E-01,12884901888
19,1.167200E+02,-3.185417E+01,19,1.565100E-01,12884901888
20,1.167200E+02,-3.185597E+01,20,1.564886E-01,12884901888
21,1.167200E+02,-3.185777E+01,21,1.564673E-01,12884901888
22,1.167200E+02,-3.185957E+01,22,1.564460E-01,12884901888
23,1.167200E+02,-3.186137E+01,23,1.564247E-01,12884901888
24,1.167200E+02,-3.186317E+01,24,1.564034E-01,12884901888
25,1.167200E+02,-3.186497E+01,25,1.563822E-01,12884901888
26,1.167200E+02,-3.186676E+01,26,1.563611E-01,12884901888
27,1.167200E+02,-3.186856E+01,27,1.563399E-01,12884901888
28,1.167200E+02,-3.187036E+01,28,1.563187E-01,12884901888
29,1.167200E+02,-3.187216E+01,29,1.562974E-01,12884901888
30,1.167200E+02,-3.187396E+01,30,1.562763E-01,12884901888
31,1.167200E+02,-3.187576E+01,31,1.562551E-01,12884901888
32,1.167200E+02,-3.187756E+01,32,1.562340E-01,12884901888
33,1.167200E+02,-3.187936E+01,33,1.562128E-01,12884901888
34,1.167200E+02,-3.188115E+01,34,1.561918E-01,12884901888
35,1.167200E+02,-3.188295E+01,35,1.561707E-01,12884901888
36,1.167200E+02,-3.188475E+01,36,1.561497E-01,12884901888
37,1.167200E+02,-3.188655E+01,37,1.561286E-01,12884901888
38,1.167200E+02,-3.188835E+01,38,1.561075E-01,12884901888
39,1.167200E+02,-3.189015E+01,39,1.560865E-01,12884901888
40,1.167200E+02,-3.189195E+01,40,1.560655E-01,12884901888
41,1.167200E+02,-3.189374E+01,41,1.631162E-01,12884901888
42,1.167200E+02,-3.189554E+01,42,1.630944E-01,12884901888
43,1.167200E+02,-3.189734E+01,43,1.630725E-01,12884901888
44,1.167200E+02,-3.189914E+01,44,1.630506E-01,12884901888
45,1.167200E+02,-3.190094E+01,45,1.630288E-01,12884901888
46,1.167200E+02,-3.190274E+01,46,1.630070E-01,12884901888
47,1.167200E+02,-3.190454E+01,47,1.629852E-01,12884901888
48,1.167200E+02,-3.190633E+01,48,1.629635E-01,12884901888
49,1.167200E+02,-3.190813E+01,49,1.629418E-01,12884901888
50,1.167200E+02,-3.190993E+01,50,1.558564E-01,12884901888
51,1.167200E+02,-3.191173E+01,51,1.558356E-01,12884901888
52,1.167200E+02,-3.191353E+01,52,1.558147E-01,12884901888
53,1.167200E+02,-3.191533E+01,53,1.557939E-01,12884901888
54,1.167200E+02,-3.191713E+01,54,1.557731E-01,12884901888
55,1.167200E+02,-3.191893E+01,55,1.557523E-01,12884901888
56,1.167200E+02,-3.192072E+01,56,1.557317E-01,12884901888
57,1.167200E+02,-3.192252E+01,57,1.557109E-01,12884901888
58,1.167200E+02,-3.192432E+01,58,1.556902E-01,12884901888
59,1.167200E+02,-3.192612E+01,59,1.556695E-01,12884901888
60,1.167200E+02,-3.192792E+01,60,1.556488E-01,12884901888
61,1.167200E+02,-3.192972E+01,61,1.556281E-01,12884901888
62,1.167200E+02,-3.193152E+01,62,1.556074E-01,12884901888
63,1.167221E+02,-3.182000E+01,63,1.579216E-01,12884901888
64,1.167221E+02,-3.182180E+01,64,1.579829E-01,12884901888
65,1.167221E+02,-3.182360E+01,65,1.580330E-01,12884901888
66,1.167221E+02,-3.182540E+01,66,1.580721E-01,12884901888
67,1.167221E+02,-3.182719E+01,67,1.580999E-01,12884901888
68,1.167221E+02,-3.182899E+01,68,1.581167E-01,12884901888
69,1.167221E+02,-3.183079E+01,69,1.581224E-01,12884901888
70,1.167221E+02,-3.183259E+01,70,1.581168E-01,12884901888
71,1.167221E+02,-3.183439E+01,71,1.581002E-01,12884901888
72,1.167221E+02,-3.183619E+01,72,1.580783E-01,12884901888
73,1.167221E+02,-3.183799E+01,73,1.580629E-01,12884901888
74,1.167221E+02,-3.183979E+01,74,1.580411E-01,12884901888
75,1.167221E+02,-3.184158E+01,75,1.580194E-01,12884901888
76,1.167221E+02,-3.184338E+01,76,1.579977E-01,12884901888
77,1.167221E+02,-3.184518E+01,77,1.579759E-01,12884901888
78,1.167221E+02,-3.184698E+01,78,1.579542E-01,12884901888
79,1.167221E+02,-3.184878E+01,79,1.579324E-01,12884901888
80,1.167221E+02,-3.185058E+01,80,1.579107E-01,12884901888
81,1.167221E+02,-3.185238E+01,81,1.578890E-01,12884901888
82,1.167221E+02,-3.185417E+01,82,1.578675E-01,12884901888
83,1.167221E+02,-3.185597E+01,83,1.578458E-01,12884901888
