lon,lat,vs30,z1pt0,z2pt5
116.72,-31.82,1100,4.24804,0.53425
116.72,-31.8218,1100,4.24804,0.53425
116.72,-31.8235999999999,1100,4.24804,0.53425
116.72,-31.8253999999999,1100,4.24804,0.53425
116.72,-31.82719,1100,4.24804,0.53425
116.72,-31.82899,1100,4.24804,0.53425
116.72,-31.83079,1100,4.24804,0.53425
116.72,-31.83259,1100,4.24804,0.53425
116.72,-31.8343899999999,1100,4.24804,0.53425
116.72,-31.8361899999999,1100,4.24804,0.53425
116.72,-31.83799,1100,4.24804,0.53425
116.72,-31.83979,1100,4.24804,0.53425
116.72,-31.84158,1100,4.24804,0.53425
116.72,-31.84338,560,162.230898,1.101409
116.72,-31.8451799999999,560,162.230898,1.101409
116.72,-31.8469799999999,560,162.230898,1.101409
116.72,-31.84878,560,162.230898,1.101409
116.72,-31.85058,1100,4.24804,0.53425
116.72,-31.85238,1100,4.24804,0.53425
116.72,-31.85417,1100,4.24804,0.53425
116.72,-31.8559699999999,1100,4.24804,0.53425
116.72,-31.8577699999999,1100,4.24804,0.53425
116.72,-31.85957,1100,4.24804,0.53425
116.72,-31.86137,1100,4.24804,0.53425
116.72,-31.86317,1100,4.24804,0.53425
116.72,-31.86497,1100,4.24804,0.53425
116.72,-31.8667599999999,1100,4.24804,0.53425
116.72,-31.8685599999999,1100,4.24804,0.53425
116.72,-31.87036,1100,4.24804,0.53425
116.72,-31.87216,1100,4.24804,0.53425
116.72,-31.87396,1100,4.24804,0.53425
116.72,-31.87576,1100,4.24804,0.53425
116.72,-31.8775599999999,1100,4.24804,0.53425
116.72,-31.8793599999999,1100,4.24804,0.53425
116.72,-31.88115,1100,4.24804,0.53425
116.72,-31.88295,1100,4.24804,0.53425
116.72,-31.88475,1100,4.24804,0.53425
116.72,-31.88655,1100,4.24804,0.53425
116.72,-31.8883499999999,1100,4.24804,0.53425
116.72,-31.8901499999999,1100,4.24804,0.53425
116.72,-31.89195,1100,4.24804,0.53425
116.72,-31.89374,760,41.306642,0.667291
116.72,-31.89554,760,41.306642,0.667291
116.72,-31.89734,760,41.306642,0.667291
