id,lon,lat,taxonomy,structural,night,number,heritage,retrofit,SA1
327,116.762946012,-31.886405679,Timber_Modern,269237.0,1.73700346,1.0,NH,2,50902124507
331,116.763563687,-31.886348306,UA1_base,686151.0,1.73700346,1.0,H,2,50902124507
325,116.762909643,-31.886086983,URM_Modern,632829.0,1.73700346,1.0,NH,2,50902124507
346,116.763623032,-31.885871479,UA1_base,538640.0,1.73700346,1.0,NH,2,50902124507
351,116.762918199,-31.885688272,UA1_base,636820.0,1.73700346,1.0,NH,2,50902124507
354,116.76347955,-31.885365278,URM_Modern,319448.0,1.73700346,1.0,NH,2,50902124507
29,116.76293959,-31.885287315,URM_Modern,568711.0,1.73700346,1.0,NH,2,50902124507
357,116.76351585,-31.88504945,URM_Modern,549482.0,1.73700346,1.0,NH,2,50902124507
358,116.76349657,-31.884796859,Timber_Modern,358605.0,1.73700346,1.0,NH,2,50902124507
56,116.7635636,-31.883989039,URM_Modern,420644.0,1.73700346,1.0,NH,2,50902124507
59,116.763580776,-31.883803169,URM_Modern,329544.0,1.73700346,1.0,NH,2,50902124507
60,116.763005307,-31.883787214,URM_Modern,596279.0,1.73700346,1.0,NH,2,50902124507
73,116.763521474,-31.883411551,URM_Modern,367573.0,1.73700346,1.0,NH,2,50902124507
84,116.763642396,-31.883070851,URM_Modern,537390.0,1.73700346,1.0,NH,2,50902124507
95,116.763048234,-31.882774631,URM_Modern,520294.0,1.73700346,1.0,NH,2,50902124507
101,116.763581489,-31.88251371,URM_Modern,345072.0,1.73700346,1.0,NH,2,50902124507
113,116.762592945,-31.881966727,Timber_Modern,471128.0,1.73700346,1.0,NH,2,50902124507
103,116.763588776,-31.88234596,URM_Modern,432319.0,1.73700346,1.0,NH,2,50902124507
127,116.763159251,-31.881328857,URM_Modern,495786.0,1.73700346,1.0,NH,2,50902124507
109,116.763585371,-31.882175709,URM_Modern,356364.0,1.73700346,1.0,NH,2,50902124507
119,116.763636819,-31.881582948,URM_Modern,414736.0,1.73700346,1.0,NH,2,50902124507
136,116.76366716,-31.881080076,URM_Modern,519225.0,1.73700346,1.0,NH,2,50902124507
