PGA,URML_Pre1945,URML_Post1945,Timber_Pre1945,Timber_Post1945,C1L_Pre1996,C1L_Post1996,C2L_Pre1996,C2L_Post1996,S2L_Pre1996,S2L_Post1996,S5L_Pre1996,S5L_Post1996,URML_Pre1945_rev,URML_Post1945_rev,Timber_Pre1945_rev,Timber_Post1945_rev,S5L_Post1996_rev,S5L_Pre1996_rev,S2L_Post1996_rev,S2L_Pre1996_rev,C1L_Post1996_rev,C1L_Pre1996_rev,C2L_Pre1996_rev,C2L_Post1996_rev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00145,0.00054,0.00019,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023420000000000003,0.0006799999999999999,0.0006599999999999999,0.00018999999999999998,0.001,0.0015,0.00015,0.00025,0.0001,0.00025,0.0001,0.00014
0.06,0.0693,0.02593,0.00889,0.00318,0.00058,0.0,0.0,0.0,1e-05,0.0,0.00113,1e-05,0.016675999999999996,0.005723999999999997,0.004735999999999999,0.0016079999999999994,0.005999999999999999,0.009,0.0009,0.0014999999999999998,0.0006,0.0014999999999999998,0.0006,0.0008399999999999999
0.11,0.12854000000000002,0.06484,0.0267,0.01273,0.04944,0.00156,0.00075,0.0,0.00487,0.00028,0.0576,0.00413,0.043168,0.019082,0.012482,0.005417999999999999,0.011,0.0165,0.00165,0.00275,0.0011,0.00275,0.0011,0.00154
0.16,0.18126,0.11341,0.05397,0.03192,0.19038,0.02644,0.02321,0.00048,0.0454,0.00572,0.20889,0.04094,0.07739000000000001,0.041036,0.022948000000000003,0.011842,0.016,0.024,0.0024,0.004,0.0016,0.004,0.0016,0.00224
0.21,0.22912,0.16629000000000002,0.08845,0.06113,0.35186,0.0978,0.11048,0.0075400000000000016,0.13335,0.027510000000000003,0.37487,0.12591,0.11658799999999997,0.07099399999999999,0.035619999999999985,0.020941999999999995,0.020999999999999998,0.032999999999999995,0.0037999999999999987,0.006999999999999997,0.0027999999999999987,0.006699999999999997,0.003299999999999998,0.003519999999999999
0.26,0.27253,0.22046,0.12839,0.10008,0.4935600000000001,0.1984,0.25343000000000004,0.0366,0.24482,0.07065,0.51341,0.23831,0.158682,0.10779,0.050134000000000005,0.032716,0.026,0.048,0.0078000000000000005,0.017,0.0068000000000000005,0.015200000000000002,0.009800000000000001,0.00712
0.31,0.3119,0.27375,0.17197,0.14728,0.60588,0.30373,0.40934,0.09677,0.35652,0.13057,0.61983,0.35349,0.20204000000000005,0.14988800000000002,0.06615599999999999,0.047032,0.031,0.067,0.0129,0.028500000000000004,0.011500000000000002,0.0258,0.0173,0.011200000000000002
0.36,0.34768000000000004,0.32491,0.21763,0.20076,0.6916100000000001,0.40185,0.54828,0.18286,0.45716,0.1997,0.69982,0.45799,0.245454,0.19566,0.08339400000000001,0.063738,0.036,0.10199999999999998,0.022399999999999996,0.04599999999999999,0.018999999999999996,0.04479999999999999,0.028799999999999992,0.017199999999999997
0.41,0.38029,0.37314,0.26397,0.2581,0.7564,0.48863,0.65957,0.28201,0.54324,0.27128,0.76002,0.54715,0.3073839999999999,0.25331999999999993,0.10545799999999997,0.08493799999999997,0.04479999999999998,0.13899999999999996,0.03249999999999999,0.06499999999999997,0.026999999999999993,0.06519999999999998,0.04219999999999998,0.02419999999999999
0.46,0.41007,0.41805,0.30988000000000004,0.31697,0.80548,0.56333,0.7439899999999999,0.38243,0.61511,0.34087,0.80575,0.6210100000000001,0.4429900000000001,0.34895000000000004,0.142768,0.11635,0.0688,0.184,0.045,0.09,0.037000000000000005,0.0912,0.0632,0.0352
0.51,0.43737,0.45955,0.35457,0.37537,0.8429,0.6266,0.8063100000000001,0.47632,0.67443,0.40603,0.84085,0.68135,0.566082,0.43551000000000006,0.176534,0.14473,0.09670000000000001,0.234,0.059500000000000004,0.11580000000000001,0.0485,0.1188,0.08650000000000001,0.048
