site_id,lon,lat,sid,gmv_PGA,eid
0,1.167200E+02,-3.182000E+01,0,7.420321E-02,12884901888
1,1.167200E+02,-3.182180E+01,1,7.416593E-02,12884901888
2,1.167200E+02,-3.182360E+01,2,7.412869E-02,12884901888
3,1.167200E+02,-3.182540E+01,3,7.409147E-02,12884901888
4,1.167200E+02,-3.182719E+01,4,7.405451E-02,12884901888
5,1.167200E+02,-3.182899E+01,5,7.401736E-02,12884901888
6,1.167200E+02,-3.183079E+01,6,7.398025E-02,12884901888
7,1.167200E+02,-3.183259E+01,7,7.394319E-02,12884901888
8,1.167200E+02,-3.183439E+01,8,7.390615E-02,12884901888
9,1.167200E+02,-3.183619E+01,9,7.386913E-02,12884901888
10,1.167200E+02,-3.183799E+01,10,7.383216E-02,12884901888
11,1.167200E+02,-3.183979E+01,11,7.379523E-02,12884901888
12,1.167200E+02,-3.184158E+01,12,7.375851E-02,12884901888
13,1.167200E+02,-3.184338E+01,13,8.180335E-02,12884901888
14,1.167200E+02,-3.184518E+01,14,8.176508E-02,12884901888
15,1.167200E+02,-3.184698E+01,15,8.171477E-02,12884901888
16,1.167200E+02,-3.184878E+01,16,8.165156E-02,12884901888
17,1.167200E+02,-3.185058E+01,17,7.351513E-02,12884901888
18,1.167200E+02,-3.185238E+01,18,7.343460E-02,12884901888
19,1.167200E+02,-3.185417E+01,19,7.334317E-02,12884901888
20,1.167200E+02,-3.185597E+01,20,7.323987E-02,12884901888
21,1.167200E+02,-3.185777E+01,21,7.312534E-02,12884901888
22,1.167200E+02,-3.185957E+01,22,7.299967E-02,12884901888
23,1.167200E+02,-3.186137E+01,23,7.286300E-02,12884901888
24,1.167200E+02,-3.186317E+01,24,7.271551E-02,12884901888
25,1.167200E+02,-3.186497E+01,25,7.255733E-02,12884901888
26,1.167200E+02,-3.186676E+01,26,7.238960E-02,12884901888
27,1.167200E+02,-3.186856E+01,27,7.221065E-02,12884901888
28,1.167200E+02,-3.187036E+01,28,7.202154E-02,12884901888
29,1.167200E+02,-3.187216E+01,29,7.182250E-02,12884901888
30,1.167200E+02,-3.187396E+01,30,7.161372E-02,12884901888
31,1.167200E+02,-3.187576E+01,31,7.139539E-02,12884901888
32,1.167200E+02,-3.187756E+01,32,7.116776E-02,12884901888
33,1.167200E+02,-3.187936E+01,33,7.093107E-02,12884901888
34,1.167200E+02,-3.188115E+01,34,7.068690E-02,12884901888
35,1.167200E+02,-3.188295E+01,35,7.043279E-02,12884901888
36,1.167200E+02,-3.188475E+01,36,7.017030E-02,12884901888
