site_id,lon,lat,vs30
0,116.71999,-31.82000,7.600000E+02
1,116.71999,-31.82450,7.600000E+02
2,116.71999,-31.82899,7.600000E+02
3,116.71999,-31.83349,7.600000E+02
4,116.71999,-31.83799,7.600000E+02
5,116.71999,-31.84248,7.600000E+02
6,116.71999,-31.84698,7.600000E+02
7,116.71999,-31.85148,7.600000E+02
8,116.71999,-31.85597,7.600000E+02
9,116.71999,-31.86047,7.600000E+02
10,116.72000,-31.86497,7.600000E+02
11,116.72000,-31.86946,7.600000E+02
12,116.72000,-31.87396,7.600000E+02
13,116.72000,-31.87846,7.600000E+02
14,116.72000,-31.88295,7.600000E+02
15,116.72000,-31.88745,7.600000E+02
16,116.72000,-31.89195,7.600000E+02
17,116.72000,-31.89644,7.600000E+02
18,116.72000,-31.90094,7.600000E+02
19,116.72000,-31.90544,7.600000E+02
20,116.72000,-31.90993,7.600000E+02
21,116.72000,-31.91443,7.600000E+02
22,116.72000,-31.91893,7.600000E+02
23,116.72000,-31.92342,7.600000E+02
24,116.72000,-31.92792,7.600000E+02
25,116.72000,-31.93242,7.600000E+02
26,116.72000,-31.93691,7.600000E+02
27,116.72000,-31.94141,7.600000E+02
28,116.72000,-31.94591,7.600000E+02
29,116.72000,-31.95040,7.600000E+02
30,116.72528,-31.82000,7.600000E+02
31,116.72528,-31.82450,7.600000E+02
32,116.72529,-31.82899,7.600000E+02
33,116.72529,-31.83349,7.600000E+02
34,116.72529,-31.83799,7.600000E+02
35,116.72529,-31.84248,7.600000E+02
36,116.72529,-31.84698,7.600000E+02
37,116.72529,-31.85148,7.600000E+02
38,116.72529,-31.85597,7.600000E+02
39,116.72529,-31.86047,7.600000E+02
40,116.72529,-31.86497,7.600000E+02
41,116.72529,-31.86946,7.600000E+02
42,116.72529,-31.87396,7.600000E+02
43,116.72529,-31.87846,7.600000E+02
44,116.72529,-31.88295,7.600000E+02
45,116.72529,-31.88745,7.600000E+02
46,116.72529,-31.89195,7.600000E+02
47,116.72529,-31.89644,7.600000E+02
48,116.72529,-31.90094,7.600000E+02
49,116.72529,-31.90544,7.600000E+02
50,116.72529,-31.90993,7.600000E+02
51,116.72530,-31.91443,7.600000E+02
52,116.72530,-31.91893,7.600000E+02
53,116.72530,-31.92342,7.600000E+02
54,116.72530,-31.92792,7.600000E+02
55,116.72530,-31.93242,7.600000E+02
56,116.72530,-31.93691,7.600000E+02
57,116.72530,-31.94141,7.600000E+02
58,116.72530,-31.94591,7.600000E+02
59,116.72530,-31.95040,7.600000E+02
60,116.73058,-31.82000,7.600000E+02
61,116.73058,-31.82450,7.600000E+02
62,116.73058,-31.82899,7.600000E+02
63,116.73058,-31.83349,7.600000E+02
64,116.73058,-31.83799,7.600000E+02
65,116.73058,-31.84248,7.600000E+02
66,116.73058,-31.84698,7.600000E+02
67,116.73058,-31.85148,7.600000E+02
68,116.73058,-31.85597,7.600000E+02
69,116.73058,-31.86047,7.600000E+02
70,116.73058,-31.86497,7.600000E+02
