multiplicity,85
mag,5.1500000000000004
centroid_lon,116.68340000000001
centroid_lat,-31.77327
centroid_depth,5.0
trt,Cratonic
strike,177.99940000000001
dip,34.998690000000003
rake,90.0
boundary,"MULTIPOLYGON(((116.69338 -31.75633,116.69476 -31.78957,116.67339 -31.79021,116.67204 -31.75697,116.69338 -31.75633)))"
