,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0,0.0269,0.30390000000000006,0.6146999999999999,0.8217,0.9156,0.9651000000000001,0.9822000000000001,0.992,0.9962000000000001,0.9978999999999999,0.9989000000000001,0.9996,0.9997999999999999,1.0,0.9998,0.9999,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0,0.0051,0.0438,0.1309,0.2539,0.3907,0.5276,0.6404000000000001,0.7267,0.7995,0.853,0.8952,0.9226,0.9444,0.9548,0.9672000000000001,0.9752,0.9849000000000001,0.9884,0.9907999999999999,0.9933,0.9952,0.9965999999999999,0.9976,0.9976999999999999,0.9984000000000001,0.999
extensive,0.0,0.0,0.0,0.0013,0.015799999999999998,0.0642,0.1383,0.2516,0.3678,0.4774,0.5813,0.6659,0.7364999999999999,0.7978000000000001,0.8429,0.8788,0.9036,0.9274,0.9423999999999999,0.9597,0.9691000000000001,0.974,0.9816,0.9864999999999999,0.9879,0.9915,0.9924,0.9935,0.9956
complete,0.0,0.0,0.0,0.0,0.0005,0.002,0.0081,0.0262,0.0554,0.0952,0.1424,0.2048,0.2658,0.3316,0.3943,0.4566,0.5224,0.5774,0.6333,0.673,0.7077,0.7515,0.7896,0.815,0.844,0.8685,0.8784,0.8999,0.9114
