,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0,0.013999999999999999,0.1687,0.4393,0.6783,0.8263,0.9095,0.9538,0.9731000000000001,0.9861,0.9919,0.9964999999999999,0.9982,0.9989,0.9993000000000001,0.9996,0.9997,0.9999,0.9998,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0001,0.0149,0.0775,0.2097,0.3586,0.524,0.6652,0.76,0.8195999999999999,0.8727,0.9160999999999999,0.9386,0.9565,0.9722,0.9811000000000001,0.9865999999999999,0.9907,0.9941000000000001,0.994,0.9972,0.9977,0.9982,0.999,0.9986999999999999,0.999,0.9997,0.9997
extensive,0.0,0.0,0.0,0.0022,0.0195,0.0777,0.1633,0.2821,0.4161,0.5199,0.6192,0.6976,0.7774,0.8228,0.8643,0.9013,0.9253,0.9421999999999999,0.9576,0.9673,0.9727,0.98,0.9865,0.9884999999999999,0.991,0.9934999999999999,0.9942,0.9965999999999999,0.9959
complete,0.0,0.0,0.0,0.0002,0.0038,0.0205,0.0539,0.1198,0.1999,0.2783,0.3737,0.4593,0.5509,0.6141,0.6796,0.7418,0.789,0.8247,0.8624,0.8887,0.9052,0.9192,0.9375,0.9469,0.9558,0.964,0.9718,0.979,0.9786
