,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0,6e-05,0.00082,0.00252,0.0104,0.05876,0.13972,0.2603,0.39572,0.5514,0.67538,0.79134,0.86166,0.90614,0.93746,0.96594,0.97842,0.98614,0.99056,0.99334,0.99516,0.99702,0.99768,0.99812,0.99824,0.99922,0.99916,0.99912
moderate,0.0,0.0,0.0,0.0,0.0,2e-05,0.00044,0.0026,0.00984,0.02368,0.05648,0.10744,0.1883,0.27346,0.35194,0.43406,0.54538,0.62946,0.69102,0.74332,0.79066,0.82534,0.84742,0.86766,0.88524,0.89648,0.91054,0.92468,0.93426
extensive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,6e-05,0.00044,0.00148,0.00468,0.0104,0.01822,0.03114,0.0551,0.08638,0.11288,0.14684,0.1861,0.22176,0.24826,0.27714,0.30102,0.33282,0.36266,0.39482,0.42084
complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.00024,0.00104,0.00218,0.005,0.0098,0.01782,0.03084,0.04354,0.06042,0.08252,0.10362,0.11972,0.13644,0.15444,0.1774,0.19864,0.2216,0.2429
