,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0018,0.521,0.8669,0.9595,0.9887,0.9963,0.9981,0.9989,0.9996,0.9997000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0,0.0051,0.0405,0.1325,0.24649999999999997,0.39370000000000005,0.5294,0.6298,0.7306,0.7966,0.8509,0.8865,0.9213,0.9410000000000001,0.9591,0.9673999999999999,0.9763999999999999,0.9842,0.9882,0.9918,0.992,0.9945,0.9973000000000001,0.9972,0.998,0.9981,0.999
extensive,0.0,0.0,0.0,0.0013,0.016,0.0661,0.1372,0.2474,0.3688,0.472,0.5847,0.6678,0.7357,0.7936,0.844,0.8746,0.9106,0.9294,0.9452,0.9599,0.9699,0.9759,0.9782000000000001,0.9843000000000001,0.989,0.9921,0.9934999999999999,0.9946,0.9966
complete,0.0,0.0,0.0,0.0,0.0003,0.0016,0.0088,0.0275,0.0557,0.0925,0.1458,0.2079,0.263,0.3217,0.3851,0.4586,0.5307,0.576,0.6283,0.6752,0.7192,0.7466,0.7849,0.8142,0.8386,0.8641,0.8772,0.8972,0.9122
