,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0345,0.8985,0.9858,0.9974,0.9990999999999999,0.9996,0.9997,0.9999999999999999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0006000000000000001,0.0352,0.1648,0.3528,0.5365,0.6924,0.7928,0.8629,0.9152,0.9466,0.9638,0.9754,0.9863000000000001,0.9893,0.9934000000000001,0.995,0.9964999999999999,0.9982,0.9987999999999999,0.9991000000000001,0.9993,0.9995999999999999,0.9999,0.9997999999999999,0.9997999999999999,0.9998,0.9999
extensive,0.0,0.0,0.0002,0.012799999999999999,0.0816,0.2162,0.3738,0.5314,0.658,0.7534,0.831,0.883,0.9157,0.9417,0.9597,0.9717,0.9808,0.9835,0.989,0.9921,0.9964,0.9964000000000001,0.9975999999999999,0.9984999999999999,0.9982,0.9986999999999999,0.9989,0.9995,0.9998
complete,0.0,0.0,0.0,0.0001,0.004,0.0196,0.0582,0.1165,0.1988,0.2789,0.3793,0.4697,0.5451,0.6188,0.68,0.7411,0.7869,0.8275,0.8653,0.88,0.9057,0.9229,0.939,0.9539,0.9575,0.9681,0.9711,0.9788,0.9827
