,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0076,0.7814,0.9671000000000001,0.9934999999999999,0.9991000000000001,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0001,0.0139,0.0818,0.213,0.37639999999999996,0.5352,0.6541,0.7563,0.8292999999999999,0.8788,0.9156,0.9442,0.9593999999999999,0.974,0.9821,0.9859,0.9912,0.9945,0.9958,0.9964999999999999,0.9973000000000001,0.9983,0.9992,0.9992,0.9994,0.9997999999999999,0.9998
extensive,0.0,0.0,0.0,0.0029999999999999996,0.021699999999999997,0.0764,0.1673,0.2886,0.4071,0.5271,0.6233,0.7070000000000001,0.7723,0.8283,0.8678999999999999,0.9031,0.9215,0.9426,0.9583999999999999,0.9668,0.9743,0.9805,0.9841000000000001,0.9896,0.991,0.9946999999999999,0.9953,0.9959,0.997
complete,0.0,0.0,0.0,0.0001,0.0031,0.0183,0.0532,0.1211,0.1903,0.2794,0.3712,0.4591,0.5528,0.6237,0.6828,0.7472,0.7848,0.8243,0.8642,0.8827,0.9069,0.9235,0.935,0.9495,0.9577,0.9661,0.9721,0.9782,0.9826
