,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0016,0.34700000000000003,0.6689999999999999,0.8342999999999999,0.9154,0.9544999999999999,0.9741000000000001,0.9847,0.9925999999999999,0.9959,0.9984999999999999,0.9993000000000001,0.9999,0.9995,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.0004,0.0073999999999999995,0.041800000000000004,0.1237,0.252,0.3938,0.5276,0.6413,0.7257,0.7994999999999999,0.8523000000000001,0.8877,0.9198999999999999,0.9416,0.9544999999999999,0.9677,0.9753,0.9823000000000001,0.9875,0.992,0.9935,0.9958,0.9961,0.9969,0.9987999999999999,0.9985,0.9982
extensive,0.0,0.0,0.0,0.0012,0.0176,0.060700000000000004,0.1418,0.24860000000000002,0.3685,0.4794,0.5871,0.6704,0.7398,0.7918000000000001,0.8459,0.877,0.9054,0.9271,0.9413,0.9527000000000001,0.9656,0.9751,0.98,0.9862000000000001,0.988,0.9902,0.9944999999999999,0.9945,0.9947
complete,0.0,0.0,0.0,0.0,0.0001,0.003,0.0083,0.0249,0.0553,0.0993,0.1406,0.1981,0.2618,0.3357,0.4054,0.4633,0.5232,0.573,0.6274,0.6659,0.7163,0.7482,0.7849,0.8121,0.8359,0.8606,0.8844,0.9019,0.912
