,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.00066,0.09496,0.24806,0.39296,0.5239,0.67244,0.7907,0.89674,0.94262,0.969,0.9845,0.99154,0.99568,0.99758,0.99832,0.99904,0.99906,0.99928,0.99962,0.99956,0.9997,0.99978,0.99982,0.99984,0.99974,0.99978,0.99986,0.99984
moderate,0.0,0.0,0.0011,0.00778,0.02484,0.04998,0.10454,0.18536,0.32526,0.44814,0.56636,0.66332,0.75862,0.8222,0.85764,0.88536,0.91066,0.92596,0.93774,0.94586,0.9537,0.9603,0.96168,0.96422,0.96736,0.96882,0.96928,0.97044,0.97038
extensive,0.0,0.0,0.0,0.0,0.00014,0.0006,0.00142,0.00448,0.01602,0.03284,0.06278,0.09954,0.16112,0.21628,0.26608,0.31032,0.35668,0.39878,0.43016,0.46552,0.49408,0.51208,0.52652,0.53924,0.55028,0.5584,0.5631,0.57012,0.57742
complete,0.0,0.0,0.0,0.0,0.0,0.0001,0.00034,0.00098,0.00478,0.00932,0.0224,0.03726,0.0675,0.0992,0.13132,0.16114,0.19208,0.22384,0.25192,0.27982,0.30454,0.32122,0.33138,0.34578,0.3536,0.36098,0.3706,0.3759,0.37918
