,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0,0.0013,0.0441,0.1834,0.3854000000000001,0.5759,0.7245,0.8261,0.887,0.9285000000000001,0.9507,0.9696,0.9815999999999999,0.988,0.9917,0.9953,0.9973,0.998,0.999,0.9986999999999999,0.9998,0.9995,0.9995999999999999,0.9999,1.0,1.0,0.9999,1.0
moderate,0.0,0.0,0.0,0.001,0.0173,0.0589,0.1453,0.2506,0.3648,0.4798,0.5783,0.6597000000000001,0.7385999999999999,0.7987,0.8432,0.8718999999999999,0.9096,0.9316,0.9429,0.9572,0.9678,0.9743999999999999,0.9796,0.9853,0.9889,0.9915,0.9933,0.9938,0.9962
extensive,0.0,0.0,0.0,0.00030000000000000003,0.0019,0.014799999999999999,0.045200000000000004,0.09770000000000001,0.1646,0.2475,0.3289,0.4172,0.4965,0.5722,0.6457999999999999,0.6964,0.7552,0.7969999999999999,0.8276,0.8629,0.8864,0.9037,0.9227000000000001,0.9387,0.9482999999999999,0.9591000000000001,0.9655999999999999,0.9715,0.9757
complete,0.0,0.0,0.0,0.0001,0.0002,0.0024,0.0093,0.0277,0.0533,0.0936,0.1405,0.1993,0.2536,0.3277,0.3921,0.4552,0.5193,0.5757,0.6231,0.6762,0.7139,0.7439,0.7839,0.814,0.841,0.8639,0.8805,0.8997,0.9074
