,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0274,0.885,0.99,0.9988,0.9996,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moderate,0.0,0.0,0.054,0.2453,0.4321,0.5863,0.6937,0.777,0.8328,0.881,0.9106,0.9388000000000001,0.966,0.9737,0.9845999999999999,0.9895999999999999,0.9935999999999999,0.996,0.997,0.9973000000000001,0.9979,0.9986,0.9994000000000001,0.9992,0.9996,0.9995999999999999,0.9999,0.9999,0.9997999999999999
extensive,0.0,0.0,0.0,0.0141,0.0813,0.2155,0.3775,0.5252,0.6603,0.7608,0.8265,0.8775,0.9202,0.9376,0.9608,0.9695999999999999,0.9793,0.9871,0.9913,0.9925,0.9952000000000001,0.9966,0.9977,0.9979,0.9993,0.9989,0.9995,0.9992,0.9994
complete,0.0,0.0,0.0,0.0001,0.0037,0.0209,0.0576,0.1121,0.1933,0.2842,0.382,0.4704,0.5565,0.6221,0.6848,0.7394,0.7877,0.8268,0.8592,0.8826,0.912,0.9234,0.9383,0.9475,0.9606,0.9671,0.9726,0.9778,0.9813
