,0.0,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.96,1.01,1.06,1.11,1.16,1.21,1.26,1.31,1.36
slight,0.0,0.0,2e-05,0.00022,0.00076,0.00844,0.11044,0.26714,0.46736,0.62314,0.77058,0.86164,0.92064,0.9533,0.96998,0.97984,0.98586,0.99122,0.99436,0.9959,0.99714,0.99794,0.9986,0.99888,0.99922,0.99952,0.99942,0.99968,0.9997
moderate,0.0,0.0,0.0,0.0,2e-05,0.0,0.00156,0.01024,0.03794,0.08204,0.17032,0.26668,0.38388,0.48724,0.56454,0.63302,0.69436,0.7449,0.79416,0.82718,0.8621,0.88178,0.90362,0.9189,0.9282,0.93746,0.94524,0.95218,0.95814
extensive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00038,0.0011,0.00404,0.01076,0.02352,0.04206,0.06138,0.083,0.11482,0.14852,0.18688,0.22186,0.2632,0.3065,0.33968,0.37638,0.40532,0.4389,0.45892,0.4883,0.51286
complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,8e-05,0.00084,0.00282,0.00678,0.01262,0.02084,0.03178,0.04582,0.06264,0.08376,0.10302,0.12828,0.15766,0.18174,0.20738,0.23204,0.2564,0.27602,0.29878,0.32036
