multiplicity,43
mag,5.25
centroid_lon,116.95350000000001
centroid_lat,-31.720370000000003
centroid_depth,5.0
trt,Cratonic
strike,177.9486
dip,35.537700000000001
rake,90.0
boundary,"MULTIPOLYGON(((116.96449 -31.70137,116.96606 -31.73867,116.94258 -31.73938,116.94102 -31.70208,116.96449 -31.70137)))"
