RETURN_PERIOD,ANNUAL_PROBABILITY,HAZARD_LEVEL(g)
100,1.0000e-02,1.4786e-02
250,4.0000e-03,3.3503e-02
475,2.1053e-03,5.6970e-02
500,2.0000e-03,5.9350e-02
800,1.2500e-03,8.5901e-02
1000,1.0000e-03,1.0203e-01
1500,6.6667e-04,1.3801e-01
2000,5.0000e-04,1.6964e-01
2475,4.0404e-04,1.9733e-01
2500,4.0000e-04,1.9875e-01
3000,3.3333e-04,2.2455e-01
5000,2.0000e-04,3.1205e-01
