multiplicity,7
mag,6.4500000000000002
centroid_lon,117.1721
centroid_lat,-31.967759999999998
centroid_depth,5.0
trt,Cratonic
strike,178.97290000000001
dip,35.003450000000001
rake,90.0
boundary,"MULTIPOLYGON(((117.21835 -31.89277,117.22148 -32.04132,117.12578 -32.04274,117.12280 -31.89418,117.21835 -31.89277)))"
