RETURN PERIODS,,,100,250,475,500,800,1000,1500,2000,2475,2500,3000,5000
ANN_PROBABILITY,LON,LAT,P0.010000,P0.004000,P0.002105,P0.002000,P0.001250,P0.001000,P0.000667,P0.000500,P0.000404,P0.000400,P0.000333,P0.000200
Denham,113.53,-25.93,8.3155e-03,1.7594e-02,2.8366e-02,2.9417e-02,4.0903e-02,4.7599e-02,6.2250e-02,7.5031e-02,8.5717e-02,8.6257e-02,9.6666e-02,1.3157e-01
Carnarvon,113.66,-24.88,9.7729e-03,2.0488e-02,3.2786e-02,3.4004e-02,4.6935e-02,5.4464e-02,7.0602e-02,8.4283e-02,9.5941e-02,9.6529e-02,1.0761e-01,1.4462e-01
Exmouth,114.13,-21.93,1.0607e-02,2.4270e-02,4.0876e-02,4.2531e-02,6.0830e-02,7.1809e-02,9.6223e-02,1.1789e-01,1.3683e-01,1.3780e-01,1.5620e-01,2.2047e-01
Geraldton,114.61,-28.78,6.3671e-03,1.4365e-02,2.3885e-02,2.4848e-02,3.5206e-02,4.1269e-02,5.4665e-02,6.6165e-02,7.6095e-02,7.6579e-02,8.5911e-02,1.1773e-01
Margaret River,115.05,-33.97,4.2275e-03,9.1352e-03,1.4617e-02,1.5151e-02,2.0978e-02,2.4397e-02,3.1954e-02,3.8601e-02,4.4268e-02,4.4555e-02,5.0095e-02,6.9032e-02
Onslow,115.11,-21.64,9.5034e-03,2.1071e-02,3.5233e-02,3.6686e-02,5.2608e-02,6.2107e-02,8.3614e-02,1.0285e-01,1.1919e-01,1.2003e-01,1.3616e-01,1.9129e-01
Busselton,115.35,-33.65,5.2092e-03,1.0791e-02,1.6766e-02,1.7344e-02,2.3414e-02,2.6932e-02,3.4405e-02,4.0837e-02,4.6279e-02,4.6553e-02,5.1813e-02,6.9493e-02
Bunbury,115.66,-33.35,6.4005e-03,1.3217e-02,2.0520e-02,2.1208e-02,2.8594e-02,3.2737e-02,4.1629e-02,4.9114e-02,5.5388e-02,5.5695e-02,6.1565e-02,8.1254e-02
Perth,115.86,-31.95,8.8902e-03,1.7604e-02,2.6922e-02,2.7787e-02,3.7128e-02,4.2350e-02,5.3688e-02,6.3142e-02,7.1204e-02,7.1608e-02,7.9198e-02,1.0474e-01
Northam,116.66,-31.65,1.5644e-02,3.4899e-02,5.9059e-02,6.1524e-02,8.8937e-02,1.0554e-01,1.4260e-01,1.7495e-01,2.0342e-01,2.0479e-01,2.3128e-01,3.2189e-01
Wongan Hills,116.71,-30.90,1.9614e-02,4.5268e-02,7.6991e-02,8.0167e-02,1.1555e-01,1.3681e-01,1.8380e-01,2.2480e-01,2.5989e-01,2.6167e-01,2.9535e-01,4.0704e-01
Dampier,116.71,-20.66,9.3614e-03,2.0857e-02,3.4915e-02,3.6353e-02,5.1922e-02,6.1096e-02,8.1732e-02,1.0002e-01,1.1573e-01,1.1652e-01,1.3191e-01,1.8530e-01
York,116.76,-31.88,1.5755e-02,3.5960e-02,6.1751e-02,6.4414e-02,9.4084e-02,1.1204e-01,1.5257e-01,1.8828e-01,2.1882e-01,2.2032e-01,2.4947e-01,3.4658e-01
Ballidu,116.76,-30.60,2.0643e-02,5.0115e-02,8.7790e-02,9.1680e-02,1.3500e-01,1.6110e-01,2.1950e-01,2.7019e-01,3.1175e-01,3.1378e-01,3.5307e-01,4.7870e-01
Goomalling,116.83,-31.30,1.8091e-02,3.9963e-02,6.6546e-02,6.9264e-02,9.9016e-02,1.1669e-01,1.5635e-01,1.9122e-01,2.2110e-01,2.2259e-01,2.5148e-01,3.5019e-01
Karratha,116.85,-20.73,8.8618e-03,1.9278e-02,3.1603e-02,3.2841e-02,4.6355e-02,5.4421e-02,7.2355e-02,8.8207e-02,1.0212e-01,1.0282e-01,1.1627e-01,1.6355e-01
Meckering,117.01,-31.63,1.7418e-02,3.8392e-02,6.3942e-02,6.6550e-02,9.5221e-02,1.1232e-01,1.5054e-01,1.8374e-01,2.1243e-01,2.1383e-01,2.4099e-01,3.3338e-01
Dowerin,117.03,-31.20,1.9737e-02,4.3814e-02,7.2734e-02,7.5617e-02,1.0727e-01,1.2597e-01,1.6774e-01,2.0466e-01,2.3561e-01,2.3718e-01,2.6755e-01,3.6880e-01
Quairading,117.40,-32.01,1.7080e-02,3.8811e-02,6.5972e-02,6.8767e-02,9.9320e-02,1.1739e-01,1.5789e-01,1.9339e-01,2.2329e-01,2.2478e-01,2.5353e-01,3.4890e-01
Wickepin,117.50,-32.78,1.4140e-02,3.1378e-02,5.2883e-02,5.5067e-02,7.9644e-02,9.4574e-02,1.2825e-01,1.5829e-01,1.8432e-01,1.8565e-01,2.1115e-01,2.9922e-01
Kellerberrin,117.71,-31.63,1.7099e-02,3.7506e-02,6.2453e-02,6.4993e-02,9.2788e-02,1.0929e-01,1.4577e-01,1.7684e-01,2.0399e-01,2.0528e-01,2.3018e-01,3.1456e-01
