ordinal,branch_path,weight
0,b_1~Allen2012,1.9200000e-01
1,b_1~AtkinsonBoore2006,1.2500000e-01
2,b_1~AtkinsonBoore2006Modified2011,1.1800000e-01
3,b_1~BooreEtAl2014,1.0600000e-01
4,b_1~ChiouYoungs2014,8.5000001e-02
5,b_1~SomervilleEtAl2009YilgarnCraton,2.2800000e-01
6,b_1~ZhaoEtAl2006AscSWISS05,1.4600000e-01
