eid,sid,gmv_PGA
0,0,1.160077E-01
0,1,1.144575E-01
0,2,1.129120E-01
0,3,1.113731E-01
0,4,1.098511E-01
0,5,1.083306E-01
0,6,1.068218E-01
0,7,1.053260E-01
0,8,1.038443E-01
0,9,1.023778E-01
0,10,1.009273E-01
0,11,9.949379E-02
0,12,9.808562E-02
0,13,1.050494E-01
0,14,1.035835E-01
0,15,1.021371E-01
0,16,1.007104E-01
0,17,9.128554E-02
0,18,8.998386E-02
0,19,8.870916E-02
0,20,8.744720E-02
0,21,8.620524E-02
0,22,8.498323E-02
0,23,8.378113E-02
0,24,8.259886E-02
0,25,8.143629E-02
0,26,8.029958E-02
0,27,7.917587E-02
0,28,7.807134E-02
0,29,7.698586E-02
0,30,7.591915E-02
0,31,7.487100E-02
0,32,7.384115E-02
0,33,7.282938E-02
0,34,7.184087E-02
0,35,7.086433E-02
0,36,6.990506E-02
0,37,6.896278E-02
0,38,6.803721E-02
0,39,6.712805E-02
0,40,6.623505E-02
0,41,6.840496E-02
0,42,6.750854E-02
0,43,6.662788E-02
0,44,6.576270E-02
0,45,6.491269E-02
0,46,6.407760E-02
0,47,6.325717E-02
0,48,6.245551E-02
0,49,6.166345E-02
0,50,5.813980E-02
0,51,5.740593E-02
0,52,5.668496E-02
0,53,5.597658E-02
0,54,5.528060E-02
0,55,5.459672E-02
0,56,5.392845E-02
0,57,5.326805E-02
0,58,5.261906E-02
0,59,5.198126E-02
0,60,5.135444E-02
0,61,5.073833E-02
0,62,5.013275E-02
0,63,1.145760E-01
0,64,1.130762E-01
0,65,1.115796E-01
0,66,1.100882E-01
0,67,1.086120E-01
0,68,1.071363E-01
0,69,1.056706E-01
0,70,1.042166E-01
0,71,1.027752E-01
0,72,1.013475E-01
0,73,9.992987E-02
0,74,9.853261E-02
0,75,9.715919E-02
0,76,9.579486E-02
0,77,9.444791E-02
0,78,9.311870E-02
0,79,9.180759E-02
0,80,9.051494E-02
0,81,8.924090E-02
0,82,8.799257E-02
0,83,8.675613E-02
0,84,8.553866E-02
0,85,8.434016E-02
0,86,8.316066E-02
0,87,8.200008E-02
0,88,8.085834E-02
0,89,7.974152E-02
0,90,7.863704E-02
0,91,7.755098E-02
0,92,7.648321E-02
0,93,7.543352E-02
0,94,7.440174E-02
0,95,7.338759E-02
0,96,7.239092E-02
0,97,7.141684E-02
0,98,7.045424E-02
0,99,6.950838E-02
0,100,6.857898E-02
0,101,6.766581E-02
0,102,6.676858E-02
0,103,6.588705E-02
0,104,6.502572E-02
0,105,6.417470E-02
0,106,6.333858E-02
0,107,6.251712E-02
0,108,6.171002E-02
0,109,6.091704E-02
0,110,6.013794E-02
0,111,5.937664E-02
0,112,5.862440E-02
0,113,5.788527E-02
0,114,5.715899E-02
0,115,5.644532E-02
0,116,5.574401E-02
0,117,5.505480E-02
0,118,5.437749E-02
0,119,5.371552E-02
0,120,5.306122E-02
0,121,5.241813E-02
0,122,5.178602E-02
0,123,5.116468E-02
0,124,5.055390E-02
0,125,4.995346E-02
0,126,1.131342E-01
0,127,1.116840E-01
0,128,1.102356E-01
0,129,1.087911E-01
0,130,1.073602E-01
0,131,1.059287E-01
0,132,1.045059E-01
0,133,1.030932E-01
0,134,1.016918E-01
0,135,1.003029E-01
0,136,9.892727E-02
0,137,9.756586E-02
0,138,9.622682E-02
0,139,9.489581E-02
0,140,9.358089E-02
0,141,9.228254E-02
0,142,9.100117E-02
0,143,8.973709E-02
0,144,8.849052E-02
0,145,8.726850E-02
0,146,8.605746E-02
0,147,8.486443E-02
0,148,8.368943E-02
0,149,8.253250E-02
0,150,8.139360E-02
0,151,8.027272E-02
0,152,7.917582E-02
0,153,7.809060E-02
0,154,7.702305E-02
0,155,7.597306E-02
0,156,7.494048E-02
0,157,7.392510E-02
0,158,7.292677E-02
0,159,7.194316E-02
0,160,7.098366E-02
0,161,7.003520E-02
0,162,6.910290E-02
0,163,6.818657E-02
0,164,6.728595E-02
0,165,6.640081E-02
0,166,6.553091E-02
0,167,6.468072E-02
0,168,6.384048E-02
0,169,6.301476E-02
0,170,6.220329E-02
0,171,6.140583E-02
0,172,6.062213E-02
0,173,5.985198E-02
0,174,5.909926E-02
0,175,5.835532E-02
0,176,5.762421E-02
0,177,5.690565E-02
0,178,5.619941E-02
0,179,5.550527E-02
0,180,5.482302E-02
0,181,5.415241E-02
0,182,5.349685E-02
0,183,5.284879E-02
0,184,5.221172E-02
0,185,5.158544E-02
0,186,5.096972E-02
0,187,5.036435E-02
0,188,4.976915E-02
0,189,1.116915E-01
0,190,1.102897E-01
0,191,1.088886E-01
0,192,1.074901E-01
0,193,1.061037E-01
0,194,1.047155E-01
0,195,1.033348E-01
0,196,1.019630E-01
0,197,1.006011E-01
0,198,9.925037E-02
0,199,9.791170E-02
0,200,9.658596E-02
0,201,9.528113E-02
0,202,9.398332E-02
0,203,9.270043E-02
0,204,9.143294E-02
0,205,9.018128E-02
0,206,8.894582E-02
0,207,8.772681E-02
0,208,8.653115E-02
0,209,8.534565E-02
0,210,8.417717E-02
0,211,8.302580E-02
0,212,8.189158E-02
0,213,8.077454E-02
0,214,7.967466E-02
0,215,7.859789E-02
0,216,7.753208E-02
0,217,7.648325E-02
0,218,7.545124E-02
0,219,7.443596E-02
0,220,7.343722E-02
0,221,7.245491E-02
0,222,7.148881E-02
0,223,7.054401E-02
0,224,6.960970E-02
0,225,6.869108E-02
0,226,6.778789E-02
0,227,6.689993E-02
0,228,6.602695E-02
0,229,6.516880E-02
0,230,6.432983E-02
0,231,6.350049E-02
0,232,6.268523E-02
0,233,6.188232E-02
0,234,6.109465E-02
0,235,6.032038E-02
0,236,5.955928E-02
0,237,5.881528E-02
0,238,5.807980E-02
0,239,5.735682E-02
0,240,5.664612E-02
0,241,5.594747E-02
0,242,5.526065E-02
0,243,5.458546E-02
0,244,5.392166E-02
0,245,5.327263E-02
0,246,5.263095E-02
0,247,5.200001E-02
0,248,5.137967E-02
0,249,5.076968E-02
0,250,5.016986E-02
0,251,4.958000E-02
0,252,1.102569E-01
0,253,1.089021E-01
0,254,1.075469E-01
0,255,1.061870E-01
0,256,1.048442E-01
0,257,1.034987E-01
0,258,1.021594E-01
0,259,1.008276E-01
0,260,9.950470E-02
0,261,9.819165E-02
0,262,9.688943E-02
